id,phase,pr,severity,roadmap_text,objection,evidence,suggested_fix,status_as_of_v0_16_0
A1,P0,P0.2,Major,"Files Touched: crates/hippo-daemon/src/daemon.rs, claude_session.rs, native_messaging.rs","native_messaging.rs does not belong in P0.2's file list. 01-source-health.md §Write Paths explicitly states: 'native_messaging.rs does NOT write directly to SQLite... The source_health update for browser therefore occurs in flush_events, not in native_messaging.rs.' 08-anti-patterns.md reinforces this.","grep -n 'rusqlite|Connection' crates/hippo-daemon/src/native_messaging.rs returns 0 hits. The actual merged P0.2 (PR #68, commit 67dbe16) touched exactly 6 files: storage.rs, claude_session.rs, daemon.rs, lib.rs, and two test files — native_messaging.rs absent.","Drop native_messaging.rs from the Files Touched cell in 07-roadmap.md. List only daemon.rs and claude_session.rs to match what actually shipped.","VALIDATED — merged PR confirms the objection. 07-roadmap.md still has the stale file list; fix with a follow-up docs-only edit."
A2,P0,P0.2,Major,"P0.2 Effort: ~4h","4h for P0.2 is 3–5× too low. A single developer cannot ship this scope in 4h given the review-cycle revisions required.","PR #68 landed via 10 commits (1 initial + 9 fix commits). The fix commits addressed: Ok(-1) duplicate insertion, idle-tick heartbeat-vs-success semantics, recompute_rolling_counts shutdown + first-tick, last_heartbeat_ts scope (browser-only), partial-success tick gating, pre-migration error differentiation, test-comment accuracy, heartbeat column semantics.","Revise the historical estimate to ~1–1.5 days. For future similar work, budget explicit review-cycle hours rather than a raw single-pass estimate.","VALIDATED — real lifecycle was multi-day with 6 review-driven fix commits. Keep as a historical calibration data point for P1/P2 estimates."
A3,P0,P0.3,Minor,"P0.3 Effort: ~3h for checks 1, 4, 7, 8","3h for four doctor checks with tests understates scope. Each check needs pre-migration handling, explain-mode remediation strings, and negative tests.","commands.rs grew past 2000 lines post-P0.3 with check_source_staleness, check_zsh_hook_sourced, check_log_file_sizes, check_watchdog_heartbeat (plus the fail_count aggregator). PR #70 merged 2026-04-24.","Revise to ~6–8h and call out the 'pre-migration DB' graceful-fallback pattern as a shared sub-task.","VALIDATED — shipped scope materially larger than 3h; use as calibration for P1.3 (which claims 6h for six new checks)."
A4,P1,P1.1,Major,"P1.1 Scope: hippo watchdog subcommand + capture_alarms table + launchd plist + ack CLI + rate limiter","Violates the guiding principle 'No PR touches more than one logical subsystem.' P1.1 ships: new subcommand, new table+migration, new launchd agent, new user-facing CLI (alarms list/ack), rate-limit/dedup logic, optional osascript path. Six subsystems.","Roadmap line 8: 'No PR touches more than one logical subsystem.'","Split into P1.1a (watchdog process + capture_alarms table + rate limiter, gated behind config flag) and P1.1b (ack CLI + launchd install + notify path). Lets reviewers assess policy separately from plumbing.","OPEN — P1 not started; fix before the P1.1 team launches."
A5,P2,P2.1,Major,"P2.1 Effort: ~2–3 days","Too aggressive. 06-claude-session-watcher.md commits to: notify-crate FSEvents integration (new dep), partial-line safety, inode/device truncation, 30s per-file timeout + 60s backoff, dual-run parity, unit + integration + end-to-end + property tests, NFS/iCloud detection.","notify crate not in Cargo.toml today. Property testing with proptest not in the existing test suite. Empirical calibration from P0.2 (A2): review cycles stretch estimates by ~4–6× on complex changes.","Revise to 4–6 days. Land the watcher behind claude_session_mode='both' in a smaller first PR, then parity tooling + dual-run logging as a second PR.","OPEN — P2 not started; revise estimate now so the team plans around a realistic window."
A6,P0,P0.4,Minor,"P0.4 Effort: ~2h — OTel source attribute","2h covers the code diff but misses the Grafana dashboard realignment cost from the rename type→source.","PR #66 title: 'rename type→source attribute on daemon metrics for source_health alignment' — the rename had ripple effects through dashboards and Prometheus queries.","Bump estimate to 3–4h in the historical row and note dashboard/rule realignment as a sub-task for future OTel label renames.","VALIDATED (retroactive) — PR merged 2026-04-24. Use as calibration if another OTel label rename appears in future phases."
A7,P1,Phase gating,Major,"Phase P1 starts after P0.1 AND P0.2 merge","P1 gated on the two longest-pole P0 PRs; the 'parallel agents' framing implied P1 starts Day 2. With realistic P0.2 effort (A2), P1 slips.","P0 span in reality: 2026-04-23 (P0.1, P0.2, P0.5) through 2026-04-24 (P0.3, P0.4, v0.16.0 release). Roughly 1.5 days wall-clock — not the 0.5 day the roadmap claimed.","In the roadmap's historical notes, reset the ratio: P0 took 1.5 days with one in-flight fix thread (P0.2). Use 1.5–2 days as the default for similar same-day parallel phases.","RESOLVED — all of P0 merged; P1 can start. But the historical timing (1.5 days, not 0.5) should be recorded as a planning calibration."
A8,All,M4,Minor,"M4: investigation issues #49–#53 closed with findings","Depends on five specific GitHub issue numbers. Roadmap does not verify they exist or document intended scope.","PR #57 (the docs PR that introduced the roadmap) body says 'Investigation issues filed as #49-#53.' So they do exist — but the roadmap should still inline a one-liner per issue so reviewers don't need to click through.","Inline a one-line summary of each issue in 07-roadmap.md or replace with a pointer to a fixed investigation-index doc.","PARTIALLY RESOLVED — issues confirmed to exist. Inline summaries still missing."
A9,P2,P2.2,Major,"P2.2 Verification: Row with probe_tag='synthetic' absent from hippo ask/hippo events; present in source_health","Under-specifies the filter coverage. 05-synthetic-probes.md enumerates ~12 call sites needing WHERE probe_tag IS NULL (daemon ×4, brain server ×2, enrichment, claude_sessions, browser_enrichment, mcp_queries ×4, rag, retrieval).","grep -rn 'probe_tag' brain/src/ returns 0 — zero brain-side filters exist yet; the full grep list in 05-synthetic-probes.md will be net-new.","Strengthen verification to (a) a Rust+Python integration test enumerating every event-table SELECT and asserting exclusion, and (b) a Semgrep rule (aligns with .semgrep.yml) flagging new SELECTs that lack probe_tag IS NULL.","OPEN — P2 not started. The existing .semgrep.yml (shipped via #60) provides a natural home for the new rule."
A10,P3,P3.1,Major,"P3.1 Blocks: P2.1 dual-run clean 48 h","'Clean' is undefined. 06-claude-session-watcher.md says 'watcher ≥ tailer, no misses' but doesn't define the measurement mechanism or tolerance.","06-claude-session-watcher.md §Migration Plan Phase A exit criterion lacks an assertable predicate.","Define 'clean' concretely: a scheduled query run hourly that SELECTs per-path row-count deltas between watcher and tailer sources; log divergences to a dedicated table. P3.1 reads that table before flipping default.","OPEN — P3 not started."
